steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
7888	78	15.602929592132568	72.0	72.0	0.0	72.0	72.0	-7.6597757	0.9223323531320784	7888	7389	7888
7926	79	15.668352603912354	72.0	72.0	0.0	72.0	72.0	-7.731087	0.749495618181536	7926	7427	7926
7968	80	15.994996786117554	-1000.0	-1000.0	0.0	-1000.0	-1000.0	-7.6518364	0.7774439120141323	7968	7469	7968
8021	81	16.082271099090576	72.0	72.0	0.0	72.0	72.0	-7.8275504	0.6958864318497945	8021	7522	8021
8099	82	16.204551219940186	72.0	72.0	0.0	72.0	72.0	-7.7243133	0.8403324154461734	8099	7600	8099
8130	83	16.271916151046753	72.0	72.0	0.0	72.0	72.0	-7.2288203	1.199001337736845	8130	7631	8130
8168	84	16.337692737579346	72.0	72.0	0.0	72.0	72.0	-7.7321825	0.9683687430468854	8168	7669	8168
8206	85	16.40243887901306	72.0	72.0	0.0	72.0	72.0	-7.467631	0.9338854506693315	8206	7707	8206
8252	86	16.478688716888428	72.0	72.0	0.0	72.0	72.0	-7.3098955	0.843351637229789	8252	7753	8252
8292	87	16.54591941833496	72.0	72.0	0.0	72.0	72.0	-7.6826406	0.8947271296498366	8292	7793	8292
8328	88	16.607505798339844	72.0	72.0	0.0	72.0	72.0	-7.436158	0.8436911160266027	8328	7829	8328
8373	89	16.683074951171875	71.0	71.0	0.0	71.0	71.0	-7.379161	1.1242273923452013	8373	7874	8373
8413	90	16.750215768814087	72.0	72.0	0.0	72.0	72.0	-7.14359	1.0377826061332598	8413	7914	8413
8457	91	16.822896718978882	72.0	72.0	0.0	72.0	72.0	-7.4003243	0.8925475630618166	8457	7958	8457
8499	92	16.892141580581665	72.0	72.0	0.0	72.0	72.0	-7.087171	0.9441738012142014	8499	8000	8499
8537	93	16.95845603942871	72.0	72.0	0.0	72.0	72.0	-6.9803247	0.8610353784239851	8537	8038	8537
8577	94	17.025904178619385	72.0	72.0	0.0	72.0	72.0	-6.5702	1.0244283681572415	8577	8078	8577
8621	95	17.09790587425232	72.0	72.0	0.0	72.0	72.0	-6.678164	1.0763747569546103	8621	8122	8621
8655	96	17.154740571975708	72.0	72.0	0.0	72.0	72.0	-6.8961897	1.1241443263576365	8655	8156	8655
8693	97	17.218810081481934	72.0	72.0	0.0	72.0	72.0	-6.806192	0.9872146038361825	8693	8194	8693
8727	98	17.277594566345215	72.0	72.0	0.0	72.0	72.0	-6.857296	0.9050018662435468	8727	8228	8727
8776	99	17.359861850738525	72.0	72.0	0.0	72.0	72.0	-6.5972157	0.9003540156886447	8776	8277	8776
8820	100	17.432723999023438	72.0	72.0	0.0	72.0	72.0	-6.7275243	0.8412905422318727	8820	8321	8820
8871	101	17.518667697906494	72.0	72.0	0.0	72.0	72.0	-6.6716084	0.7579488323582336	8871	8372	8871
8913	102	17.589688301086426	72.0	72.0	0.0	72.0	72.0	-6.3413205	0.8896445654588752	8913	8414	8913
8942	103	17.64272689819336	72.0	72.0	0.0	72.0	72.0	-6.6145215	0.9715735143888742	8942	8443	8942
8976	104	17.703857898712158	72.0	72.0	0.0	72.0	72.0	-6.539225	1.1578000369295478	8976	8477	8976
9022	105	17.78056263923645	72.0	72.0	0.0	72.0	72.0	-6.4754295	1.393440048864577	9022	8523	9022
